Country,method,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Region
Algeria,Suspectedcases,12224,11974,15790,12762,8690,8000,6628,6469,10081,8620,11197,Africa
Algeria,Presumedandconfirmed,408,191,887,603,266,747,432,453,1242,1014,2726,Africa
Algeria,Microscopyexamined,12224,11974,15790,12762,8690,8000,6628,6469,10081,8620,11197,Africa
Algeria,Microscopypositive,408,191,887,603,266,747,432,453,1242,1014,2726,Africa
Algeria,RDTexamined,0,0,0,0,0,0,0,0,0,0,0,Africa
Algeria,RDTpositive,0,0,0,0,0,0,0,0,0,0,0,Africa
Algeria,Importedcases,396,187,828,587,260,727,420,446,1241,1014,2725,Africa
Angola,Suspectedcases,4591529,4469357,4849418,5273305,6134471,6839963,7649902,11050353,10870446,14341390,13232340,Africa
Angola,Presumedandconfirmed,3687574,3501953,3031546,3144100,3180021,3254270,4301146,4500221,5928260,7530788,7156110,Africa
Angola,Microscopyexamined,1947349,1765933,2245223,3025258,3398029,3345693,4183727,7493969,5066780,5643654,5216938,Africa
Angola,Microscopypositive,1324264,1147473,1056563,1462941,1431313,1396773,2058128,2199810,2442500,2557385,2359788,Africa
Angola,RDTexamined,639476,833753,1069483,1103815,1855400,3009305,2959282,2931055,5025981,8221926,7456619,Africa
Angola,RDTpositive,358606,484809,440271,536927,867666,1372532,1736125,1675082,2708075,4497593,4239539,Africa
Benin,Suspectedcases,0,1928016,2431902,2091263,2930569,2733611,2184524,2705456,2880743,3958782,3572959,Africa
Benin,Presumedandconfirmed,1873015,1786864,2069728,1717115,2122011,2042684,1667005,1968532,2255946,3084525,2632324,Africa
Benin,Microscopyexamined,0,88134,243008,291479,155205,296264,267405,267492,349191,432001,359137,Africa
Benin,Microscopypositive,0,68745,0,99368,108714,108061,104601,208823,258519,294518,242780,Africa
Benin,RDTexamined,0,475986,825005,1173271,1962591,2116289,1860904,2403344,2251418,3338134,3086562,Africa
