year,month,family,sales
2013,1,AUTOMOTIVE,6557.0
2013,1,BABY CARE,0.0
2013,1,BEAUTY,4019.0
2013,1,BEVERAGES,1670653.0
2013,1,BOOKS,0.0
2013,1,BREAD/BAKERY,549778.856175
2013,1,CELEBRATION,0.0
2013,1,CLEANING,1448851.0
2013,1,DAIRY,523737.0
2013,1,DELI,304217.242018
2013,1,EGGS,203442.0
2013,1,FROZEN FOODS,118057.1350672
2013,1,GROCERY I,4032240.0
2013,1,GROCERY II,27039.0
2013,1,HARDWARE,1612.0
2013,1,HOME AND KITCHEN I,0.0
2013,1,HOME AND KITCHEN II,0.0
2013,1,HOME APPLIANCES,210.0
2013,1,HOME CARE,0.0
2013,1,LADIESWEAR,0.0
2013,1,LAWN AND GARDEN,3808.0
2013,1,LINGERIE,18266.0
2013,1,"LIQUOR,WINE,BEER",88568.0
2013,1,MAGAZINES,0.0
2013,1,MEATS,533154.783758
2013,1,PERSONAL CARE,317716.0
2013,1,PET SUPPLIES,0.0
2013,1,PLAYERS AND ELECTRONICS,0.0
2013,1,POULTRY,304256.8359325
2013,1,PREPARED FOODS,136488.049961
2013,1,PRODUCE,0.0
2013,1,SCHOOL AND OFFICE SUPPLIES,0.0
2013,1,SEAFOOD,34953.8339978
2013,2,AUTOMOTIVE,7220.0
2013,2,BABY CARE,0.0
2013,2,BEAUTY,3747.0
2013,2,BEVERAGES,1508254.0
2013,2,BOOKS,0.0
2013,2,BREAD/BAKERY,499809.40377
2013,2,CELEBRATION,0.0
2013,2,CLEANING,1302978.0
2013,2,DAIRY,499873.0
2013,2,DELI,283769.43102
2013,2,EGGS,190424.0
2013,2,FROZEN FOODS,98706.2020041
2013,2,GROCERY I,3919400.0
2013,2,GROCERY II,25304.0
2013,2,HARDWARE,1414.0
2013,2,HOME AND KITCHEN I,0.0
2013,2,HOME AND KITCHEN II,0.0
2013,2,HOME APPLIANCES,119.0
2013,2,HOME CARE,0.0
2013,2,LADIESWEAR,0.0
2013,2,LAWN AND GARDEN,3625.0
2013,2,LINGERIE,15453.0
